[2025-12-03T16:00:03.154Z] Starting NASB1995 cleanup (v5)...
[2025-12-03T16:00:03.160Z] Reading input file: C:\WindSurf\ohbc_website\scripts\NASB1995.txt
[2025-12-03T16:00:03.178Z] Starting Bible text cleanup...
[2025-12-03T16:00:03.179Z] Preprocessing content to join wrapped lines...
[2025-12-03T16:00:03.209Z] Found book: GENESIS
[2025-12-03T16:00:03.249Z] Found chapter: 17
[2025-12-03T16:00:03.249Z] Found chapter: 18
[2025-12-03T16:00:03.249Z] Found chapter: 19
[2025-12-03T16:00:03.250Z] Found chapter: 20
[2025-12-03T16:00:03.250Z] Found chapter: 21
[2025-12-03T16:00:03.250Z] Found chapter: 22
[2025-12-03T16:00:03.251Z] Found chapter: 23
[2025-12-03T16:00:03.251Z] Found chapter: 24
[2025-12-03T16:00:03.251Z] Found chapter: 25
[2025-12-03T16:00:03.252Z] Found chapter: 26
[2025-12-03T16:00:03.252Z] Found chapter: 27
[2025-12-03T16:00:03.252Z] Found book: End of LEVITICUS
[2025-12-03T16:00:03.252Z] Found book: NUMBERS
[2025-12-03T16:00:03.253Z] Found chapter: 1
[2025-12-03T16:00:03.253Z] Found chapter: 2
[2025-12-03T16:00:03.253Z] Found chapter: 3
[2025-12-03T16:00:03.254Z] Found chapter: 4
[2025-12-03T16:00:03.254Z] Found chapter: 5
[2025-12-03T16:00:03.254Z] Found chapter: 6
[2025-12-03T16:00:03.254Z] Found chapter: 7
[2025-12-03T16:00:03.255Z] Found chapter: 8
[2025-12-03T16:00:03.255Z] Found chapter: 9
[2025-12-03T16:00:03.255Z] Found chapter: 10
[2025-12-03T16:00:03.256Z] Found chapter: 11
[2025-12-03T16:00:03.256Z] Found chapter: 12
[2025-12-03T16:00:03.256Z] Found chapter: 13
[2025-12-03T16:00:03.257Z] Found chapter: 14
[2025-12-03T16:00:03.257Z] Found chapter: 15
[2025-12-03T16:00:03.257Z] Found chapter: 16
[2025-12-03T16:00:03.258Z] Found chapter: 17
[2025-12-03T16:00:03.258Z] Found chapter: 18
[2025-12-03T16:00:03.258Z] Found chapter: 19
[2025-12-03T16:00:03.258Z] Found chapter: 20
[2025-12-03T16:00:03.259Z] Found chapter: 21
[2025-12-03T16:00:03.259Z] Found chapter: 22
[2025-12-03T16:00:03.259Z] Found chapter: 23
[2025-12-03T16:00:03.260Z] Found chapter: 24
[2025-12-03T16:00:03.260Z] Found chapter: 25
[2025-12-03T16:00:03.260Z] Found chapter: 26
[2025-12-03T16:00:03.261Z] Found chapter: 27
[2025-12-03T16:00:03.261Z] Found chapter: 28
[2025-12-03T16:00:03.261Z] Found chapter: 29
[2025-12-03T16:00:03.261Z] Found chapter: 30
[2025-12-03T16:00:03.262Z] Found chapter: 31
[2025-12-03T16:00:03.262Z] Found chapter: 32
[2025-12-03T16:00:03.262Z] Found chapter: 33
[2025-12-03T16:00:03.263Z] Found chapter: 34
[2025-12-03T16:00:03.263Z] Found chapter: 35
